MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
DEN @ GSW,9/30/2017,W,48,108,36,81,44.4,13,28,46.4,23,34,67.6,9,40,49,23,18,6,0,24,6
MIN @ LAL,9/30/2017,W,48,108,37,89,41.6,6,20,30,28,35,80,14,35,49,28,18,7,3,21,9
GSW vs. DEN,9/30/2017,L,48,102,39,95,41.1,4,33,12.1,20,24,83.3,17,36,53,17,14,13,4,28,-6
LAL vs. MIN,9/30/2017,L,48,99,41,92,44.6,5,30,16.7,12,17,70.6,13,35,48,25,18,10,6,29,-9
MIA vs. ATL,10/1/2017,W,48,96,36,74,48.6,9,27,33.3,15,29,51.7,7,41,48,24,22,5,9,22,6
TOR vs. LAC,10/1/2017,W,48,119,38,77,49.4,11,43,25.6,32,40,80,9,35,44,22,22,14,3,34,8
ATL @ MIA,10/1/2017,L,48,90,31,87,35.6,6,25,24,22,27,81.5,10,32,42,18,17,14,1,25,-6
LAC @ TOR,10/1/2017,L,48,113,35,76,46.1,8,26,30.8,35,44,79.5,3,30,33,25,20,11,0,25,-8
UTA vs. SYD,10/2/2017,W,48,108,44,77,57.1,9,27,33.3,11,22,50,8,36,44,31,17,11,5,14,25
WAS vs. GUA,10/2/2017,W,44,114,48,80,60,8,20,40,10,13,76.9,10,32,42,30,17,5,7,28,24
SYD @ UTA,10/2/2017,L,48,83,29,81,35.8,10,38,26.3,15,17,88.2,7,29,36,13,20,11,1,24,-25
GUA @ WAS,10/2/2017,L,44,90,28,75,37.3,2,17,11.8,32,41,78,9,18,27,14,11,10,1,17,-24
ORL @ MEM,10/2/2017,L,48,84,32,88,36.4,5,32,15.6,15,24,62.5,11,38,49,26,16,9,11,24,-8
SAS @ SAC,10/2/2017,L,48,96,34,81,42,8,33,24.2,20,26,76.9,8,24,32,17,9,10,2,17,-10
LAL vs. DEN,10/2/2017,L,48,107,38,84,45.2,9,27,33.3,22,27,81.5,11,37,48,26,24,10,4,25,-6
MIL @ DAL,10/2/2017,L,48,104,42,85,49.4,10,29,34.5,10,12,83.3,10,29,39,34,20,8,2,25,-2
CHA @ BOS,10/2/2017,L,48,82,30,80,37.5,6,21,28.6,16,24,66.7,7,38,45,18,19,4,4,17,-12
DAL vs. MIL,10/2/2017,W,48,106,39,83,47,13,32,40.6,15,27,55.6,12,30,42,24,19,12,3,16,2
DEN @ LAL,10/2/2017,W,48,113,39,86,45.3,15,29,51.7,20,28,71.4,7,30,37,23,19,10,3,24,6
MEM vs. ORL,10/2/2017,W,48,92,36,90,40,4,18,22.2,16,25,64,14,40,54,16,18,6,8,21,8
SAC vs. SAS,10/2/2017,W,48,106,43,84,51.2,8,20,40,12,15,80,10,36,46,15,18,5,4,26,10
BOS vs. CHA,10/2/2017,W,48,94,38,91,41.8,11,31,35.5,7,13,53.8,13,39,52,26,12,11,6,20,12
NYK vs. BKN,10/3/2017,L,48,107,36,94,38.3,10,25,40,25,31,80.6,10,43,53,20,15,11,5,23,-8
CHI @ NOP,10/3/2017,W,43,109,42,83,50.6,16,35,45.7,9,12,75,6,35,41,33,13,9,2,24,9
OKC vs. HOU,10/3/2017,L,48,97,31,76,40.8,10,26,38.5,25,31,80.6,10,34,44,16,20,4,5,23,-7
NOP vs. CHI,10/3/2017,L,43,100,34,72,47.2,9,30,30,23,28,82.1,4,33,37,23,13,9,6,15,-9
BKN @ NYK,10/3/2017,W,48,115,38,87,43.7,16,32,50,23,28,82.1,7,45,52,20,18,10,5,25,8
HOU @ OKC,10/3/2017,W,48,104,33,78,42.3,24,55,43.6,14,18,77.8,5,30,35,24,17,9,9,28,7
POR vs. PHX,10/3/2017,L,48,107,42,104,40.4,8,29,27.6,15,19,78.9,14,32,46,20,13,6,5,27,-2
PHX @ POR,10/3/2017,W,48,114,37,82,45.1,10,28,35.7,30,39,76.9,8,43,51,19,20,9,8,23,2
